Name	Title	Series	Money	Description
Relativity Space	Relativity Space (650 M)	Series E	650000000.0	Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.
Gong	Gong (250 M)	Series E	250000000.0	Gong.io is a revenue intelligence platform that delivers insights at scale.
Boost	Boost (20 M)	Series B	20000000.0	Boost enables innovators to build, offer, and deliver insurance products to their customers.
Aurora Solar	Aurora Solar (250 M)	Series C	250000000.0	Aurora Solar is a SaaS company that uses aerial imagery to assess solar installation projects.
Handshake	Handshake (80 M)	Series E	80000000.0	Handshake is a college career network that helps students and recent graduates find their next opportunity.
Pinwheel	Pinwheel (20 M)	Series A	20000000.0	Pinwheel is a payroll connectivity company that connects payroll providers through a single point of connectivity for tasks.
WeaveGrid	WeaveGrid (15 M)	Series A	15000000.0	WeaveGrid develops electrification software for the scalable deployment of electric vehicles on the electric grid.
PrizePool	PrizePool (10 M)	Series A	10000000.0	PrizePool is a savings startup that offers savings account that makes saving money fun and even exciting.
Loom	Loom (130 M)	Series C	130000000.0	Loom is a work communication tool that enables its users to get a message across instantly shareable videos.
PortalOne	PortalOne (15 M)	Seed	15000000.0	PortalOne is a gaming startup delivering live game experiences with stunning visuals and next level interactivity.
Caris Life Sciences	Caris Life Sciences (830 M)	Private Equity	830000000.0	Caris Life Sciences advances precision medicine to provide physicians and patients with information about their health.
Inxeption	Inxeption (62 M)	Series D	61500000.0	Industrial-strength eCommerce platform, built on Blockchain.
CloudWalk	CloudWalk (190 M)	Series B	190000000.0	Next-Generation Merchant Acquirer
Alchemy	Alchemy (80 M)	Series B	80000000.0	Alchemy is a developer platform that helps companies to build reliable decentralized applications.
Persona	Persona (50 M)	Series B	50000000.0	Persona is the first all-in-one identity platform securely built to help you serve the real people of your business.
Bitso	Bitso (250 M)	Series C	250000000.0	Bitso is a cryptocurrency exchange platform that allows users to buy and sell bitcoin and other cryptocurrencies.
Mux	Mux (105 M)	Series D	105000000.0	Mux is a video platform designed to make video streaming and analytics possible for every development team.
Step	Step (100 M)	Series C	100000000.0	Step is a financial services company that builds mobile-based banking for teenagers.
Orbit	Orbit (15 M)	Series A	15000000.0	Grow and measure your community across any platform with Orbit, mission control for your community.
Commerce Layer	Commerce Layer (16 M)	Series B	16000000.0	Commerce Layer is a fast, flexible, and secure REST API that lets you add e-commerce to any website, and mobile applications.
Alan	Alan (223 M)	Series D	222790639.0	Alan is a digital health insurance platform that offers insurance services by focusing on a price-quality ratio health plan.
Universal Hydrogen	Universal Hydrogen (20 M)	Series A	20500000.0	Universal Hydrogen is the company fueling carbon-free flight by making hydrogen-powered commercial flight a near-term reality.
Dapper Labs	Dapper Labs (305 M)	Series C	305000000.0	Dapper Labs is a consumer-focused flow blockchain product made for fun and games and supports digital collectables.
Deep Instinct	Deep Instinct (100 M)	Series D	100000000.0	Deep Instinct applies deep learning to cybersecurity, offering zero-day attack protection.
Unsupervised	Unsupervised (35 M)	Series B	35000000.0	Unsupervised is an automated analytics platform provider that finds hidden insights in complex data.
Lyra Health	Lyra Health (200 M)	Series F	200000000.0	Lyra helps companies improve access to effective mental health care for their employees.
Causal	Causal (4 M)	Seed	4200000.0	A browser-based modelling tool.
Scale AI	Scale AI (325 M)	Series E	325000000.0	Scale AI is the data platform for AI, providing high quality training data for leading machine learning teams.
Databricks	Databricks (1000 M)	Series G	1000000000.0	Databricks is a data-and-AI company that interacts with corporate information stored in the public cloud.
Ramp	Ramp (115 M)	Series B	115000000.0	Ramp is a technology company that develops corporate cards designed to save money for businesses.
CRED	CRED (215 M)	Series D	214749244.0	CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.
UiPath	UiPath (750 M)	Series F	750000000.0	UiPath is a software company developing robotic process automation and artificial intelligence software.
Lacework	Lacework (525 M)	Series D	525000000.0	Lacework is a security platform for the cloud generation of builders that provides compliance checks and automated threat defense.
Hinge Health	Hinge Health (300 M)	Series D	300000000.0	Hinge Health is a patient-centered digital clinic that treats chronic musculoskeletal conditions such as back and joint pain.
Dingdong Maicai	Dingdong Maicai (700 M)	Series D	700000000.0	Dingdong Maicai is a fresh vegetable e-commerce platform.
Wolt	Wolt (530 M)	Series E	530000000.0	Wolt is a food delivery company specializing in real-time logistics optimization.
Gorillas	Gorillas (24 M)	Series B	23850645.0	Gorillas is a delivery startup that allows customers to order groceries and other household items.
Fiture	Fiture (300 M)	Series B	300000000.0	Fiture is a smart household fitness equipment brand.
Rapyd	Rapyd (300 M)	Series D	300000000.0	Rapyd is a payments platform that inserts fintech services into any app and simplifies the complex offering of local payment methods.
Fireblocks	Fireblocks (133 M)	Series C	133000000.0	Fireblocks is a blockchain security service provider for moving, storing, and issuing digital assets.
Hopin	Hopin (400 M)	Series C	400000000.0	Hopin is a live virtual events platform where users can learn, interact, and connect with people from around the globe.
Infinitus Systems	Infinitus Systems (21 M)	Series A	21400000.0	Infinitus is a startup company that develops voice robotic process automation tools for the health care industry.
